policy,channel,seed,start,horizon,b_probe,b_payload,metadata_noise,metadata_loss,debt_mode,rmse_mean,loss_mean,missed_violation_pct,metadata_seen_frac_mean,debt_changed_decision_pct,payload_success_pct,payload_fairness_jain,probe_fairness_jain,max_age,avg_age,max_payload_debt,window_id
caw_vou_full,severe_burst,50362,5739,240,4,4,0.0,0.0,bounded,0.04307269880239504,0.004199567316248256,0.0697350069735007,0.1333333333333333,100.0,74.3723849372385,0.8739108816217241,0.8739108816217241,129.0,14.1,0.10509065550906556,6
caw_vou_full,severe_burst,50362,5739,240,4,4,0.0,0.0,accumulating,0.03745343790806365,0.004194627883891212,0.0697350069735007,0.1333333333333333,100.0,74.3723849372385,0.8843629044743759,0.8420269025244143,28.0,7.2,0.10613668061366806,6
caw_vou_full,severe_burst,50379,9067,240,4,4,0.0,0.0,bounded,0.18943499020721447,0.002737810951069271,0.04184100418410042,0.1333333333333333,100.0,74.47698744769873,0.990265678498677,0.9998862194214684,10.0,5.066666666666666,0.10509065550906556,7
caw_vou_full,severe_burst,50379,9067,240,4,4,0.0,0.0,accumulating,0.1893320193682229,0.0010734668157058739,0.01394700139470014,0.1333333333333333,98.32635983263599,74.47698744769873,0.9871211630268064,0.9998862194214684,28.0,6.033333333333333,0.10509065550906556,7
caw_vou_full,severe_burst,50396,9573,240,4,4,0.0,0.0,bounded,0.1280258604589065,0.0001002377136506276,0.0,0.1333333333333333,88.7029288702929,75.52301255230127,0.9951827170172906,0.9998862194214684,9.0,4.833333333333333,0.10509065550906556,8
caw_vou_full,severe_burst,50396,9573,240,4,4,0.0,0.0,accumulating,0.13607860869338845,0.00011388965050170463,0.0,0.1333333333333333,94.56066945606695,75.52301255230127,0.9968760907504352,0.9998862194214684,21.0,6.0,0.10195258019525802,8
caw_vou_full,severe_burst,50413,11386,240,4,4,0.0,0.0,bounded,0.5517442660860482,0.005368979791841005,0.05578800557880056,0.1333333333333333,97.07112970711297,77.40585774058577,0.9916840277777766,0.9998205885570495,11.0,3.8666666666666667,0.10509065550906556,9
caw_vou_full,severe_burst,50413,11386,240,4,4,0.0,0.0,accumulating,0.522889978512615,0.009983894101813108,0.1394700139470014,0.1333333333333333,98.74476987447699,77.40585774058577,0.9900082325923989,0.9988371584699443,17.0,3.966666666666667,0.10404463040446305,9
caw_vou_full,severe_burst,50430,11723,240,4,4,0.0,0.0,bounded,0.18718931433250885,0.002712247718270572,0.04184100418410042,0.1333333333333333,99.16317991631799,69.14225941422593,0.9708264287231771,0.9900082325923989,23.0,8.7,0.1092747559274756,10
caw_vou_full,severe_burst,50430,11723,240,4,4,0.0,0.0,accumulating,0.18694840967388382,0.0010453474428172946,0.01394700139470014,0.1333333333333333,98.74476987447699,69.14225941422593,0.9562600707305323,0.9909098794344685,23.0,8.566666666666666,0.10613668061366806,10
caw_vou_full,severe_burst,50447,11886,240,4,4,0.0,0.0,bounded,0.18157593351952747,0.0010277018218270571,0.01394700139470014,0.1333333333333333,100.0,72.80334728033473,0.9858434189804317,0.9998862194214684,16.0,6.933333333333334,0.10718270571827057,11
caw_vou_full,severe_burst,50447,11886,240,4,4,0.0,0.0,accumulating,0.1909080909867554,0.0010491097646443514,0.01394700139470014,0.1333333333333333,100.0,72.80334728033473,0.9863541194500194,0.9998205885570495,24.0,7.633333333333334,0.10509065550906556,11
caw_vou_full,severe_burst,50464,14989,240,4,4,0.0,0.0,bounded,0.19395792105085488,0.0002852764965132498,0.0,0.1333333333333333,97.07112970711297,69.14225941422593,0.9926534158792212,0.9998862194214684,23.0,7.466666666666667,0.10613668061366806,12
caw_vou_full,severe_burst,50464,14989,240,4,4,0.0,0.0,accumulating,0.2119529406934724,0.000365120219665272,0.0,0.1333333333333333,99.16317991631799,69.14225941422593,0.9951177021406317,0.9998862194214684,48.0,8.966666666666667,0.10299860529986053,12
