window_id,seed,policy,loss,rmse,missed_vio,runtime,max_age,jain_probe,jain_payload
8,50396,CAW-VoU,0.0001002377136506276,0.1280258604589065,0.0,105.6636964979486,9.0,0.9998862194214684,0.9951827170172906
8,50396,MaxWeight-AoI,9.189114682124595e-05,0.12166960225849276,0.0,0.7445886108885952,13.0,0.9985752370962796,0.9947927551375816
8,50396,MaxWeight-VoU,0.0006355274937141642,0.24486872124683126,0.0,1.0857042803177728,239.0,0.5994359398160898,0.6361887260020322
8,50396,VoI+debt,0.0005064250056853403,0.2414729131510648,0.0,0.6164127531428295,239.0,0.43490939546215907,0.43490939546215907
8,50396,VoI-greedy,0.0005046917740101505,0.24032860202363873,0.0,0.8466663891176799,239.0,0.4199919120620564,0.4199919120620564
8,50396,Whittle-heuristic,0.0014562490646211068,0.34516975276172046,0.0,0.9212275438749126,239.0,0.15050903282117153,0.456725935254315
9,50413,AoII+debt,0.030721995852161788,0.7100789907985389,0.46025104602510464,1.3690119539582362,24.0,0.939451502816495,0.939451502816495
9,50413,AoII+debt+threshold,0.006205377236053,0.9437874019633288,0.01394700139470014,1.0708258326543363,185.0,0.6498961799926042,0.6498961799926042
9,50413,AoII-greedy,0.03825483432391911,0.8116347401042028,0.5718270571827058,3.2363690502374634,27.0,0.8827740751472994,0.8827740751472994
9,50413,CAW-VoU,0.005368979791841005,0.5517442660860482,0.05578800557880056,103.88141530970205,11.0,0.9998205885570495,0.9916840277777766
9,50413,MaxWeight-AoI,0.02480881680090656,0.4797754267455693,0.3905160390516039,0.5658948493227128,10.0,0.9985752370962796,0.9943381856953227
9,50413,MaxWeight-VoU,0.023000569988493726,0.7540178941589282,0.30683403068340304,1.6251478702702782,171.0,0.8108739242303249,0.830503607582283
9,50413,VoI+debt,0.22271758149093446,2.9583030552276646,2.189679218967922,1.2953749204650677,239.0,0.4351578867177083,0.44269549717120027
9,50413,VoI-greedy,0.1788348394585077,3.4277360251925235,0.9205020920502093,0.6024507614764459,239.0,0.42266063616267546,0.42266063616267546
9,50413,Whittle-heuristic,0.12217904810704323,2.3565583605058444,0.8368200836820083,0.9433563347373968,239.0,0.1344537617324271,0.48153089073646693
