dataset,window_id,seed,policy,loss,rmse,missed_vio,max_age,jain_payload
beijing,14,50498,MaxWeight-AoI,0.1216843212149523,1.8813180833663505,1.9874476987447698,4.0,0.9964587258390889
beijing,14,50498,MaxWeight-VoU,0.08703002461217083,2.200292230768486,1.394700139470014,5.0,0.9876459959713314
beijing,14,50498,VoI+debt,0.12771516163100802,1.784226626091627,2.092050209205021,4.0,0.9943252041011704
beijing,14,50498,VoI-greedy,0.1256023438538215,1.7812512789616217,2.0571827057182706,4.0,0.9941175446840345
beijing,14,50498,Whittle-heuristic,0.17236051009083223,2.9372903484680837,2.7196652719665275,239.0,0.6960330951118905
beijing,15,50515,AoII+debt,0.006587809142375459,3.0926321729432154,0.0,9.0,0.999859966041764
beijing,15,50515,AoII-greedy,0.007822962446770065,3.311901842551283,0.0,11.0,0.8165683856902891
beijing,15,50515,CAW-VoU,0.006332857949274043,3.026933070257034,0.0,8.0,0.9993089633575623
beijing,15,50515,MaxWeight-AoI,0.005130734989925889,2.7242525745238226,0.0,7.0,0.9981041246210423
beijing,15,50515,MaxWeight-VoU,0.011740433629101344,3.782199630313482,0.0,153.0,0.9311587115284289
beijing,15,50515,VoI+debt,0.005241073836864307,2.719277381119429,0.0,6.0,0.9880303737913607
beijing,15,50515,VoI-greedy,0.005298867432824251,2.7413448703420404,0.0,6.0,0.9886716687869415
beijing,15,50515,Whittle-heuristic,0.015814421012517368,4.444267317751313,0.0,138.0,0.883091384134934
beijing,16,50532,AoII+debt,0.00554461025252973,2.831423764014334,0.0,5.0,0.9998074634180483
beijing,16,50532,AoII-greedy,0.006498026313281149,2.99614496887614,0.0,5.0,0.8440799438472045
beijing,16,50532,CAW-VoU,0.0056732137203185295,2.85880810178508,0.0,3.0,0.9983396252796409
beijing,16,50532,MaxWeight-AoI,0.004636862874807776,2.588390252261746,0.0,3.0,0.9967717167486814
beijing,16,50532,MaxWeight-VoU,0.006326304648950708,2.904008634908516,0.0,3.0,0.9642139734305623
beijing,16,50532,VoI+debt,0.004243862143738041,2.4802572380179613,0.0,3.0,0.9951567100472122
beijing,16,50532,VoI-greedy,0.004271104572104288,2.4887387204594336,0.0,3.0,0.9942473216539156
beijing,16,50532,Whittle-heuristic,0.014906545278532284,3.9736136594401255,0.0,195.0,0.8056672167449463
beijing,17,50549,AoII+debt,0.003852366033308375,2.3648955827277667,0.0,2.0,0.9999649878332709
beijing,17,50549,AoII-greedy,0.005709918857639147,2.782023174171966,0.0,9.0,0.7946716750139114
beijing,17,50549,CAW-VoU,0.004456990587768335,2.537161211145301,0.0,2.0,0.9990205852003416
beijing,17,50549,MaxWeight-AoI,0.0034960086383955245,2.2557848785761756,0.0,2.0,0.9951567100472122
beijing,17,50549,MaxWeight-VoU,0.007138438495477102,3.034475989017072,0.0,114.0,0.9385253645512416
beijing,17,50549,VoI+debt,0.0033338495156685593,2.2029672681443766,0.0,2.0,0.9818147441516687
beijing,17,50549,VoI-greedy,0.0033747072157983404,2.2167183625193916,0.0,2.0,0.9832343575178576
beijing,17,50549,Whittle-heuristic,0.013594047817728177,4.144799042997303,0.0,59.0,0.9322529050789911
beijing,18,50566,AoII+debt,0.007370321215731957,3.1922796251344887,0.0,17.0,0.9984181501970746
beijing,18,50566,AoII-greedy,0.008894116855332784,3.50963123268355,0.0,17.0,0.8847121870377676
beijing,18,50566,CAW-VoU,0.007899966696779047,3.3333579138513065,0.0,10.0,0.9996237476484217
beijing,18,50566,MaxWeight-AoI,0.005572351844141497,2.8468580722856984,0.0,2.0,0.9968499952008226
beijing,18,50566,MaxWeight-VoU,0.01038621800581089,3.7407696805068316,0.0,206.0,0.8568235682356816
beijing,18,50566,VoI+debt,0.005570887631954636,2.8077625776745756,0.0,2.0,0.9954428614995849
beijing,18,50566,VoI-greedy,0.0055929031080499325,2.806506046687966,0.0,2.0,0.9933914192796636
beijing,18,50566,Whittle-heuristic,0.019092045730997622,4.604690241192696,0.0,221.0,0.8505464724976912
beijing,19,50583,AoII+debt,0.07220396346455916,2.1503277908095684,1.1506276150627615,8.0,0.9999124741798819
beijing,19,50583,AoII-greedy,0.05762080466008917,2.1419436336418727,0.906555090655509,7.0,0.8148909004015885
beijing,19,50583,CAW-VoU,0.03719861723604222,2.2851357194152295,0.5578800557880056,6.0,0.9988371584699443
beijing,19,50583,MaxWeight-AoI,0.06347410459455237,2.011515910623863,1.0111576011157601,5.0,0.9966412799776656
beijing,19,50583,MaxWeight-VoU,0.05183922497613595,3.108208216580952,0.7322175732217573,5.0,0.9533274919681218
beijing,19,50583,VoI+debt,0.06959288568962964,1.9673810738422117,1.1157601115760112,5.0,0.996354439211581
beijing,19,50583,VoI-greedy,0.0695922795628315,1.9653040343183694,1.1157601115760112,5.0,0.9955469573780195
beijing,19,50583,Whittle-heuristic,0.13434540202622058,2.4196050103681075,2.161785216178522,231.0,0.8041360475265359
beijing,20,50600,AoII+debt,0.3628608882521531,2.082222433179968,5.997210599721059,4.0,0.9995975080498378
beijing,20,50600,AoII-greedy,0.3648611375865712,2.0498879544788653,6.03207810320781,11.0,0.8858853270056909
beijing,20,50600,CAW-VoU,0.2561858115880472,2.102767785184463,4.218967921896792,12.0,0.9992565185826608
beijing,20,50600,MaxWeight-AoI,0.3790920725431948,1.9161789164279914,6.2761506276150625,4.0,0.9968760907504352
beijing,20,50600,MaxWeight-VoU,0.18165474194196732,2.3488350371869786,2.96373779637378,13.0,0.9850656181557924
beijing,20,50600,VoI+debt,0.4059744497065125,1.7905430325908218,6.729428172942817,4.0,0.9946888169121989
beijing,20,50600,VoI-greedy,0.41015759933778817,1.7894625991252469,6.7991631799163175,4.0,0.9931841496705082
beijing,20,50600,Whittle-heuristic,0.512987733239137,2.2877226631633367,8.472803347280335,239.0,0.7591536754249559
beijing,21,50617,AoII+debt,0.37952413160974263,2.0397897539887997,6.2761506276150625,6.0,0.9969021876663426
beijing,21,50617,AoII-greedy,0.3377221810071846,2.0778502040865745,5.578800557880056,9.0,0.8651550951169265
beijing,21,50617,CAW-VoU,0.33108912628205445,2.5897262637577443,5.439330543933055,7.0,0.9992827402820044
beijing,21,50617,MaxWeight-AoI,0.39855922043745845,2.1164771751055533,6.589958158995817,6.0,0.9958333333333322
beijing,21,50617,MaxWeight-VoU,0.2548419120051641,2.831401996370872,4.149232914923291,14.0,0.9766026380803381
beijing,21,50617,VoI+debt,0.41303485234793985,2.0645564351946724,6.834030683403068,5.0,0.9895194539722124
beijing,21,50617,VoI-greedy,0.4088341274164861,2.055992846757774,6.764295676429567,5.0,0.985856180046771
beijing,21,50617,Whittle-heuristic,0.19764336617323572,2.80879459813157,3.1729428172942815,239.0,0.7165832423820451
beijing,22,50634,AoII+debt,0.03317278959794759,3.355692445711009,0.41841004184100417,5.0,0.9997549663078662
beijing,22,50634,AoII-greedy,0.0367382365977307,3.619576209691848,0.4532775453277545,5.0,0.9111733224862208
beijing,22,50634,CAW-VoU,0.025872051738641207,3.1641375072953974,0.3138075313807531,10.0,0.9988895592337073
beijing,22,50634,MaxWeight-AoI,0.026870119140188362,2.9320558909245698,0.3486750348675035,5.0,0.9967456266631756
beijing,22,50634,MaxWeight-VoU,0.02113101587146111,3.4699996530123443,0.20920502092050208,84.0,0.9735814968212564
beijing,22,50634,VoI+debt,0.03065640071372548,2.815380442521738,0.41841004184100417,5.0,0.9906263277923734
beijing,22,50634,VoI-greedy,0.030701513186281365,2.819987070148572,0.41841004184100417,5.0,0.9880816467739134
beijing,22,50634,Whittle-heuristic,0.06543908923415837,4.882057234194755,0.697350069735007,188.0,0.804985977818176
beijing,23,50651,AoII+debt,0.011844910873356648,4.120269817378866,0.0,9.0,0.9971371214104903
beijing,23,50651,AoII-greedy,0.011897862585835046,4.113294057000604,0.0,9.0,0.9278236646119101
beijing,23,50651,CAW-VoU,0.008462062542720649,3.5083610953777153,0.0,5.0,0.9990730052121582
beijing,23,50651,MaxWeight-AoI,0.006704194995488183,3.1292216542405122,0.0,4.0,0.9963283709653495
beijing,23,50651,MaxWeight-VoU,0.012752384899777484,4.200506793061833,0.0,170.0,0.9268300597918229
beijing,23,50651,VoI+debt,0.006450284914298853,3.040855587581495,0.0,4.0,0.9896480331262929
beijing,23,50651,VoI-greedy,0.0064601231841712806,3.0429888768510964,0.0,4.0,0.9882354976557488
beijing,23,50651,Whittle-heuristic,0.03525019768528401,5.633493800855206,0.0,234.0,0.7172716028454283
beijing,24,50668,AoII+debt,0.3159784874142358,3.0428355699565106,5.160390516039052,4.0,0.9994400993823584
beijing,24,50668,AoII-greedy,0.3228022938081899,3.1634511420035274,5.264993026499303,5.0,0.9686779270112593
beijing,24,50668,CAW-VoU,0.29321005446365417,3.0494186456554604,4.776847977684798,4.0,0.998968170689051
beijing,24,50668,MaxWeight-AoI,0.3207693469042224,2.6627722754969736,5.264993026499303,2.0,0.9977641530856423
beijing,24,50668,MaxWeight-VoU,0.33263257469172175,3.788225119507292,5.369595536959554,2.0,0.9883124410647692
beijing,24,50668,VoI+debt,0.28884312481021696,2.504385825721168,4.741980474198047,2.0,0.994065643381712
beijing,24,50668,VoI-greedy,0.2929666363184921,2.4858310349815547,4.811715481171548,2.0,0.9919165082093883
beijing,24,50668,Whittle-heuristic,0.4063544365386811,3.6012770056797403,6.589958158995817,231.0,0.7890894271880196
beijing,25,50685,AoII+debt,0.19902480283218188,1.8583094051890086,3.2775453277545328,10.0,0.9989943772571847
beijing,25,50685,AoII-greedy,0.17814523212626435,1.8627480866255468,2.928870292887029,10.0,0.7395309394804466
beijing,25,50685,CAW-VoU,0.19963973391917797,2.0611174008492843,3.2775453277545328,4.0,0.9997024747103492
beijing,25,50685,MaxWeight-AoI,0.18636044418226805,1.8068266479960864,3.0683403068340307,4.0,0.9969543855974716
beijing,25,50685,MaxWeight-VoU,0.17358509301926095,2.374445086412679,2.8242677824267783,5.0,0.9861880837692708
beijing,25,50685,VoI+debt,0.19667986463795692,1.753136358954641,3.2426778242677825,4.0,0.9932877736623357
beijing,25,50685,VoI-greedy,0.19668866179591724,1.7546418090117244,3.2426778242677825,4.0,0.9933655058475707
beijing,25,50685,Whittle-heuristic,0.24257006205397805,2.308987267729577,3.9748953974895396,106.0,0.82958993239367
beijing,26,50702,AoII+debt,0.2927635505635681,1.6902756490370046,4.846582984658299,6.0,0.9999124741798819
beijing,26,50702,AoII-greedy,0.2740601271888867,1.737582110213366,4.532775453277545,6.0,0.8768689938902696
beijing,26,50702,CAW-VoU,0.2921311226163326,2.200512753932841,4.811715481171548,10.0,0.9991778617408329
beijing,26,50702,MaxWeight-AoI,0.301273601709926,1.7432817348741965,4.9860529986053,5.0,0.9983396252796409
beijing,26,50702,MaxWeight-VoU,0.22842200245791786,2.4686588554028734,3.730822873082287,12.0,0.9683330790486351
beijing,26,50702,VoI+debt,0.29056186984383975,1.6359071704233221,4.811715481171548,5.0,0.992692230824708
beijing,26,50702,VoI-greedy,0.2989020913922645,1.6254739414048993,4.951185495118549,5.0,0.9927698698228954
beijing,26,50702,Whittle-heuristic,0.3814005860823037,2.3975929980455315,6.2761506276150625,224.0,0.7492949247701121
beijing,27,50719,AoII+debt,0.004021049932744647,2.3975887939296876,0.0,2.0,0.9995975080498378
beijing,27,50719,AoII-greedy,0.004419201553114587,2.4641524735551648,0.0,3.0,0.7829084429824555
beijing,27,50719,CAW-VoU,0.004403646675597031,2.5197087297288028,0.0,3.0,0.9993351878094426
beijing,27,50719,MaxWeight-AoI,0.0032776366033194287,2.18021735385588,0.0,2.0,0.9976595930486409
beijing,27,50719,MaxWeight-VoU,0.0039237083459324525,2.3367035591005307,0.0,45.0,0.9572576523130797
beijing,27,50719,VoI+debt,0.00310384222303616,2.115618850066547,0.0,2.0,0.9876972290667001
beijing,27,50719,VoI-greedy,0.003171533513064429,2.1410583895388196,0.0,2.0,0.9874155128005658
beijing,27,50719,Whittle-heuristic,0.041796148424070804,5.47465695848708,0.0,239.0,0.6672273521046141
beijing,28,50736,AoII+debt,0.004597133335547832,2.553758176397219,0.0,9.0,0.9998862194214684
beijing,28,50736,AoII-greedy,0.005995272536338007,2.8799674944893447,0.0,9.0,0.8800505342300069
beijing,28,50736,CAW-VoU,0.0038918098417307038,2.3688110921046657,0.0,4.0,0.9991516455452634
beijing,28,50736,MaxWeight-AoI,0.0035652656246252397,2.2655418101781306,0.0,3.0,0.9979733389241213
beijing,28,50736,MaxWeight-VoU,0.014814975212824065,3.9407653434835272,0.0,215.0,0.7696640189717775
beijing,28,50736,VoI+debt,0.0032085875321988104,2.135193318475159,0.0,3.0,0.991709853555213
beijing,28,50736,VoI-greedy,0.0032079674520480305,2.1397524357416016,0.0,3.0,0.992407658361999
beijing,28,50736,Whittle-heuristic,0.0078120781424131525,3.196122093659915,0.0,79.0,0.9698868315377486
beijing,29,50753,AoII+debt,0.06467315625211502,2.365066265441018,1.0111576011157601,11.0,0.9999649878332709
beijing,29,50753,AoII-greedy,0.07211851676092557,2.6576869900183184,1.1157601115760112,11.0,0.7986549499101662
beijing,29,50753,CAW-VoU,0.051469357778826316,2.196802978832261,0.8019525801952581,9.0,0.9986014230520434
beijing,29,50753,MaxWeight-AoI,0.05747991208526441,2.09033914666647,0.906555090655509,7.0,0.9977380110217366
beijing,29,50753,MaxWeight-VoU,0.0517809599578337,2.778313800053212,0.7670850767085077,24.0,0.9879022146124633
beijing,29,50753,VoI+debt,0.04675364110021003,2.0194923835602414,0.7322175732217573,7.0,0.9914258439642443
beijing,29,50753,VoI-greedy,0.04675177795556888,2.0129284735214505,0.7322175732217573,7.0,0.9918648364719251
beijing,29,50753,Whittle-heuristic,0.09152001253043178,3.017751442469612,1.394700139470014,205.0,0.8184814225737573
