dataset,window_id,seed,policy,loss,rmse,missed_vio,max_age,jain_payload
keti,5,50345,AoII-greedy,0.012307234230965167,0.07041432692179542,0.19874476987447698,239.0,0.717330151952781
keti,5,50345,CAW-VoU,0.0006527223142626479,0.09686974338472527,0.0,45.0,0.7900553250345775
keti,5,50345,MaxWeight-AoI,0.007306292343057225,0.07592446878377597,0.11506276150627616,14.0,0.9947927551375816
keti,5,50345,MaxWeight-VoU,0.0060346845608967754,0.23403274802816845,0.010460251046025104,239.0,0.2948865542964817
keti,5,50345,VoI+debt,0.011045177980862688,0.2575016122700382,0.08368200836820083,239.0,0.25862404636316294
keti,5,50345,VoI-greedy,0.0107168641297462,0.30652105937696017,0.03138075313807531,239.0,0.23225111305373147
keti,5,50345,Whittle-heuristic,0.008673538353575788,0.2585923919539176,0.05230125523012552,239.0,0.26183676743599726
keti,6,50362,AoII+debt,0.0022575606745462084,0.07004209621727542,0.03138075313807531,114.0,0.7618164843958383
keti,6,50362,AoII-greedy,0.0022867148261331697,0.07259166485484911,0.03138075313807531,239.0,0.7470215131105729
keti,6,50362,CAW-VoU,0.002232824155500512,0.10844498187484763,0.02092050209205021,25.0,0.7946716750139114
keti,6,50362,MaxWeight-AoI,0.0023748169776503262,0.07957244884722423,0.03138075313807531,15.0,0.996006974716651
keti,6,50362,MaxWeight-VoU,0.01124533550012771,0.2487070655863098,0.07322175732217573,239.0,0.29359821130271635
keti,6,50362,VoI+debt,0.009196164968823495,0.22573282862319316,0.08368200836820083,239.0,0.2575105941754575
keti,6,50362,VoI-greedy,0.009375395648043981,0.28851759130132076,0.03138075313807531,239.0,0.23674154509283815
keti,6,50362,Whittle-heuristic,0.006666151010481521,0.26015526588265514,0.02092050209205021,239.0,0.25762092682376814
keti,7,50379,AoII+debt,0.0056955181070009004,0.10003048897961944,0.08368200836820083,239.0,0.7565194357989531
keti,7,50379,AoII-greedy,0.003247480931437524,0.1034321464074786,0.04184100418410042,239.0,0.766159211320501
keti,7,50379,CAW-VoU,0.0030850342755071526,0.15075037005550004,0.02092050209205021,33.0,0.8054854403158704
keti,7,50379,MaxWeight-AoI,0.021052849515491353,0.11454172500273777,0.33472803347280333,18.0,0.9935814924334656
keti,7,50379,MaxWeight-VoU,0.03797238889216637,0.27830954498217375,0.502092050209205,239.0,0.2886137988530429
keti,7,50379,VoI+debt,0.01447240123674051,0.259169301958318,0.14644351464435146,239.0,0.2622755865742228
keti,7,50379,VoI-greedy,0.019885414650736146,0.3402320621548183,0.14644351464435146,239.0,0.23797937714821368
