policy,channel,seed,start,horizon,b_probe,b_payload,metadata_noise,metadata_loss,rmse_mean,loss_mean,missed_violation_pct,metadata_seen_frac_mean,debt_changed_decision_pct,payload_success_pct,payload_fairness_jain,probe_fairness_jain,max_age,avg_age,max_payload_debt,window_id,variant
ablation_full,severe_burst,50345,5691,240,4,4,0.0,0.0,0.038705803503033216,0.007544911399232915,0.12552301255230125,0.1333333333333333,100.0,74.05857740585773,0.8929690858639143,0.8929690858639143,74.0,9.2,0.10404463040446305,5,Full (corr+debt)
ablation_vou_only,severe_burst,50345,5691,240,4,4,0.0,0.0,0.07965968279638558,0.0377241640223152,0.6276150627615062,0.1333333333333333,100.0,74.05857740585773,0.5629487274250372,0.5343155137739112,238.0,69.53333333333333,0.13228730822873083,5,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50345,5691,240,4,4,0.0,0.0,0.08280162370937952,0.03772725775383542,0.6276150627615062,0.1333333333333333,100.0,74.05857740585773,0.5708175629254884,0.5426722243993964,238.0,71.83333333333333,0.13228730822873083,5,+corr -debt
ablation_debt_nocorr,severe_burst,50345,5691,240,4,4,0.0,0.0,0.04067969327803601,0.0075480075739191065,0.12552301255230125,0.1333333333333333,100.0,74.05857740585773,0.8945423224492983,0.8945423224492983,74.0,9.1,0.10404463040446305,5,+debt -corr
ablation_full,severe_burst,50362,5739,240,4,4,0.0,0.0,0.04307269880239504,0.004199567316248256,0.0697350069735007,0.1333333333333333,100.0,74.3723849372385,0.8739108816217241,0.8739108816217241,129.0,14.1,0.10509065550906556,6,Full (corr+debt)
ablation_vou_only,severe_burst,50362,5739,240,4,4,0.0,0.0,0.08256727528769112,0.049442318427475596,0.8228730822873083,0.1333333333333333,100.0,74.3723849372385,0.5663605378942799,0.5541827354532001,239.0,80.86666666666666,0.13333333333333333,6,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50362,5739,240,4,4,0.0,0.0,0.0884403086617913,0.049456496427126906,0.8228730822873083,0.1333333333333333,100.0,74.3723849372385,0.5636569962502463,0.55517245568636,239.0,83.56666666666666,0.13333333333333333,6,+corr -debt
ablation_debt_nocorr,severe_burst,50362,5739,240,4,4,0.0,0.0,0.042029179738532596,0.0033611067747559274,0.05578800557880056,0.1333333333333333,100.0,74.3723849372385,0.8757699457636205,0.8757699457636205,129.0,13.833333333333334,0.10509065550906556,6,+debt -corr
ablation_full,severe_burst,50379,9067,240,4,4,0.0,0.0,0.18943499020721447,0.002737810951069271,0.04184100418410042,0.1333333333333333,100.0,74.47698744769873,0.990265678498677,0.9998862194214684,10.0,5.066666666666666,0.10509065550906556,7,Full (corr+debt)
ablation_vou_only,severe_burst,50379,9067,240,4,4,0.0,0.0,0.20383906892873047,0.002788137231403998,0.04184100418410042,0.1333333333333333,97.90794979079497,74.47698744769873,0.8732595692636961,0.2990824006806727,19.0,5.233333333333333,0.1092747559274756,7,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50379,9067,240,4,4,0.0,0.0,0.20189889993818075,0.002793384255888734,0.04184100418410042,0.1333333333333333,96.65271966527196,74.47698744769873,0.8986057853027344,0.30013135771332483,10.0,4.9,0.10822873082287308,7,+corr -debt
ablation_debt_nocorr,severe_burst,50379,9067,240,4,4,0.0,0.0,0.1808898385187694,0.0035506115601270723,0.05578800557880056,0.1333333333333333,98.74476987447699,74.47698744769873,0.987825335062688,0.9998862194214684,12.0,5.0,0.10718270571827057,7,+debt -corr
ablation_full,severe_burst,50396,9573,240,4,4,0.0,0.0,0.1280258604589065,0.0001002377136506276,0.0,0.1333333333333333,88.7029288702929,75.52301255230127,0.9951827170172906,0.9998862194214684,9.0,4.833333333333333,0.10509065550906556,8,Full (corr+debt)
ablation_vou_only,severe_burst,50396,9573,240,4,4,0.0,0.0,0.1281517283785581,0.0001017630692991633,0.0,0.1333333333333333,91.2133891213389,75.52301255230127,0.9581247117037772,0.2596350082952659,15.0,5.166666666666667,0.10718270571827057,8,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50396,9573,240,4,4,0.0,0.0,0.1281517283785581,0.0001017630692991633,0.0,0.1333333333333333,91.2133891213389,75.52301255230127,0.9581247117037772,0.2596350082952659,15.0,5.166666666666667,0.10718270571827057,8,+corr -debt
ablation_debt_nocorr,severe_burst,50396,9573,240,4,4,0.0,0.0,0.1280258604589065,0.0001002377136506276,0.0,0.1333333333333333,88.7029288702929,75.52301255230127,0.9951827170172906,0.9998862194214684,9.0,4.833333333333333,0.10509065550906556,8,+debt -corr
ablation_full,severe_burst,50413,11386,240,4,4,0.0,0.0,0.5517442660860482,0.005368979791841005,0.05578800557880056,0.1333333333333333,97.07112970711297,77.40585774058577,0.9916840277777766,0.9998205885570495,11.0,3.8666666666666667,0.10509065550906556,9,Full (corr+debt)
ablation_vou_only,severe_burst,50413,11386,240,4,4,0.0,0.0,0.6928008475073998,0.017092554289400277,0.22315202231520223,0.1333333333333333,98.74476987447699,77.40585774058577,0.9513031892747096,0.41254141501683667,13.0,4.0,0.1092747559274756,9,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50413,11386,240,4,4,0.0,0.0,0.727662943379795,0.01006925088005579,0.09762900976290098,0.1333333333333333,100.0,77.40585774058577,0.9302147582697191,0.4572743738304662,13.0,4.2,0.11136680613668061,9,+corr -debt
ablation_debt_nocorr,severe_burst,50413,11386,240,4,4,0.0,0.0,0.5476768511674177,0.006985606443165969,0.08368200836820083,0.1333333333333333,97.48953974895397,77.40585774058577,0.9912322943103176,0.9995581512347693,8.0,3.6333333333333333,0.10509065550906556,9,+debt -corr
ablation_full,severe_burst,50430,11723,240,4,4,0.0,0.0,0.18718931433250885,0.002712247718270572,0.04184100418410042,0.1333333333333333,99.16317991631799,69.14225941422593,0.9708264287231771,0.9900082325923989,23.0,8.7,0.1092747559274756,10,Full (corr+debt)
ablation_vou_only,severe_burst,50430,11723,240,4,4,0.0,0.0,0.20497789312264159,0.002763785005927476,0.04184100418410042,0.1333333333333333,98.74476987447699,69.14225941422593,0.7874007064702329,0.3120662692152724,96.0,12.533333333333333,0.12287308228730823,10,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50430,11723,240,4,4,0.0,0.0,0.2032680756129444,0.002759928647838215,0.04184100418410042,0.1333333333333333,98.74476987447699,69.14225941422593,0.7801816567643236,0.30715169113297836,45.0,9.966666666666667,0.12391910739191074,10,+corr -debt
ablation_debt_nocorr,severe_burst,50430,11723,240,4,4,0.0,0.0,0.18576136458116918,0.0010385302921896793,0.01394700139470014,0.1333333333333333,100.0,69.14225941422593,0.9742415520733386,0.990587674232077,24.0,9.2,0.10822873082287308,10,+debt -corr
ablation_full,severe_burst,50447,11886,240,4,4,0.0,0.0,0.18157593351952747,0.0010277018218270571,0.01394700139470014,0.1333333333333333,100.0,72.80334728033473,0.9858434189804317,0.9998862194214684,16.0,6.933333333333334,0.10718270571827057,11,Full (corr+debt)
ablation_vou_only,severe_burst,50447,11886,240,4,4,0.0,0.0,0.19462587222280883,0.0027441894138772664,0.04184100418410042,0.1333333333333333,99.581589958159,72.80334728033473,0.8661586868342235,0.2672561920636312,21.0,7.833333333333333,0.12601115760111575,11,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50447,11886,240,4,4,0.0,0.0,0.1954555218691967,0.0019118724951185495,0.02789400278940028,0.1333333333333333,99.581589958159,72.80334728033473,0.8693223756800966,0.27021938383300803,58.0,10.7,0.12496513249651325,11,+corr -debt
ablation_debt_nocorr,severe_burst,50447,11886,240,4,4,0.0,0.0,0.19035085103240681,0.004403081930962343,0.0697350069735007,0.1333333333333333,100.0,72.80334728033473,0.9884022235199954,0.9996893526722221,19.0,6.9,0.10509065550906556,11,+debt -corr
ablation_full,severe_burst,50464,14989,240,4,4,0.0,0.0,0.19395792105085488,0.0002852764965132498,0.0,0.1333333333333333,97.07112970711297,69.14225941422593,0.9926534158792212,0.9998862194214684,23.0,7.466666666666667,0.10613668061366806,12,Full (corr+debt)
ablation_vou_only,severe_burst,50464,14989,240,4,4,0.0,0.0,0.22043346020435328,0.00040593634832635975,0.0,0.1333333333333333,99.16317991631799,69.14225941422593,0.8506319688762302,0.37748480042294463,57.0,21.8,0.11868898186889819,12,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50464,14989,240,4,4,0.0,0.0,0.20621121957303928,0.00036171716283124117,0.0,0.1333333333333333,97.90794979079497,69.14225941422593,0.8512499534294542,0.37113850851972763,40.0,18.433333333333334,0.11764295676429568,12,+corr -debt
ablation_debt_nocorr,severe_burst,50464,14989,240,4,4,0.0,0.0,0.19879669256424795,0.00031604173082287295,0.0,0.1333333333333333,97.90794979079497,69.14225941422593,0.9942083850053293,0.9998862194214684,26.0,7.5,0.10613668061366806,12,+debt -corr
ablation_full,severe_burst,50481,16537,240,4,4,0.0,0.0,0.042198335795236436,0.006708219043584379,0.11157601115760112,0.1333333333333333,100.0,73.01255230125523,0.6627623315784126,0.6627623315784126,149.0,22.8,0.11555090655509066,13,Full (corr+debt)
ablation_vou_only,severe_burst,50481,16537,240,4,4,0.0,0.0,0.10511928747717177,0.017666361360529986,0.2928870292887029,0.1333333333333333,100.0,73.01255230125523,0.40030134202319617,0.39334452334839665,239.0,110.3,0.13228730822873083,13,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50481,16537,240,4,4,0.0,0.0,0.11395147403571633,0.01684586775906555,0.2789400278940028,0.1333333333333333,100.0,73.01255230125523,0.41184984903789806,0.4042319055959519,239.0,106.8,0.13228730822873083,13,+corr -debt
ablation_debt_nocorr,severe_burst,50481,16537,240,4,4,0.0,0.0,0.04644416487516298,0.005875187934449094,0.09762900976290098,0.1333333333333333,100.0,73.01255230125523,0.638428545482487,0.638428545482487,149.0,24.2,0.11555090655509066,13,+debt -corr
ablation_full,severe_burst,50498,19393,240,4,4,0.0,0.0,0.06492338998606169,0.004215437387726638,0.0697350069735007,0.1333333333333333,100.0,69.14225941422593,0.7342620711818103,0.7342620711818103,93.0,12.033333333333333,0.11345885634588564,14,Full (corr+debt)
ablation_vou_only,severe_burst,50498,19393,240,4,4,0.0,0.0,0.11518263210723395,0.005120940983263598,0.08368200836820083,0.1333333333333333,100.0,69.14225941422593,0.45934280228782787,0.4193906020558001,69.0,19.233333333333334,0.1312412831241283,14,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50498,19393,240,4,4,0.0,0.0,0.11865485297215647,0.003459223055788005,0.05578800557880056,0.1333333333333333,100.0,69.14225941422593,0.47231834625322977,0.43484731698497414,76.0,19.833333333333332,0.1312412831241283,14,+corr -debt
ablation_debt_nocorr,severe_burst,50498,19393,240,4,4,0.0,0.0,0.06337777781086543,0.005890799730822872,0.09762900976290098,0.1333333333333333,100.0,69.14225941422593,0.6578391995969188,0.6559412051789965,93.0,9.266666666666667,0.11450488145048815,14,+debt -corr
ablation_full,severe_burst,50515,20410,240,4,4,0.0,0.0,0.0650933253686727,2.6619779637377942e-05,0.0,0.1333333333333333,95.81589958158996,68.82845188284519,0.9931064458643011,0.9998862194214684,17.0,7.366666666666666,0.10509065550906556,15,Full (corr+debt)
ablation_vou_only,severe_burst,50515,20410,240,4,4,0.0,0.0,0.06938699017583337,3.247961924686189e-05,0.0,0.1333333333333333,97.07112970711297,68.82845188284519,0.9629704555991054,0.1932023524139301,105.0,9.966666666666667,0.11659693165969316,15,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50515,20410,240,4,4,0.0,0.0,0.06938699017583337,3.247961924686189e-05,0.0,0.1333333333333333,97.07112970711297,68.82845188284519,0.9629704555991054,0.1932023524139301,105.0,9.966666666666667,0.11659693165969316,15,+corr -debt
ablation_debt_nocorr,severe_burst,50515,20410,240,4,4,0.0,0.0,0.0650933253686727,2.6619779637377942e-05,0.0,0.1333333333333333,95.81589958158996,68.82845188284519,0.9931064458643011,0.9998862194214684,17.0,7.366666666666666,0.10509065550906556,15,+debt -corr
ablation_full,severe_burst,50532,20526,240,4,4,0.0,0.0,0.07762365123371157,3.836460808926082e-05,0.0,0.1333333333333333,95.81589958158996,69.4560669456067,0.9977902965194976,0.9998862194214684,8.0,3.5,0.10404463040446305,16,Full (corr+debt)
ablation_vou_only,severe_burst,50532,20526,240,4,4,0.0,0.0,0.10234200722264829,0.00014895391771269195,0.0,0.1333333333333333,89.1213389121339,69.4560669456067,0.9332353061307836,0.21096445669385847,201.0,10.033333333333333,0.12705718270571828,16,VoU-only (R=I)
ablation_corr_nodebt,severe_burst,50532,20526,240,4,4,0.0,0.0,0.10234200722264829,0.00014895391771269195,0.0,0.1333333333333333,89.1213389121339,69.4560669456067,0.9332353061307836,0.21096445669385847,201.0,10.033333333333333,0.12705718270571828,16,+corr -debt
ablation_debt_nocorr,severe_burst,50532,20526,240,4,4,0.0,0.0,0.07762365123371157,3.836460808926082e-05,0.0,0.1333333333333333,95.81589958158996,69.4560669456067,0.9977902965194976,0.9998862194214684,8.0,3.5,0.10404463040446305,16,+debt -corr
ablation_full,severe_burst,50549,20643,240,4,4,0.0,0.0,0.0670945925592032,2.7114700139470033e-05,0.0,0.1333333333333333,78.66108786610879,71.86192468619247,0.9949227084694089,0.9998862194214684,7.0,3.3333333333333335,0.10299860529986053,17,Full (corr+debt)
ablation_vou_only,severe_burst,50549,20643,240,4,4,0.0,0.0,0.09223960239575772,7.994804463040437e-05,0.0,0.1333333333333333,75.31380753138075,71.86192468619247,0.9342656198887789,0.24068935730914678,19.0,3.8333333333333335,0.11450488145048815,17,VoU-only (R=I)
